n 		 spin_accpt		Ecalc		 Mabs_calc
6611		727195		-489.691726		168.276206
6621		705324		-497.478931		188.652771
6631		717287		-494.129392		180.152918
6641		723863		-491.309743		178.552025
6651		714923		-495.579011		184.293790
6661		712756		-495.908122		192.364810
6671		732792		-489.224404		170.963274
6681		717961		-495.285137		182.457117
6691		728122		-491.698700		176.794500
6701		730177		-491.485450		174.598717
6711		719366		-495.819401		183.877813
6721		719024		-496.402916		187.407826
6731		712207		-500.572278		193.057792
6741		708501		-501.253820		198.531375
6751		733215		-491.886239		178.731151
6761		722507		-496.985653		187.175270
6771		736297		-491.675085		173.600945
6781		731402		-493.954284		185.406872
6791		725603		-497.546164		185.931969
6801		746830		-489.378621		168.174680
6811		745395		-489.731904		168.429599
6821		733876		-495.534966		182.890485
6831		730115		-496.707949		186.866637
6841		765717		-484.006432		155.017103
6851		728439		-498.766895		195.942782
6861		727300		-499.256668		188.887626
6871		734347		-497.128802		187.402125
6881		731632		-497.897980		192.828368
6891		736595		-497.303149		183.763169
6901		735891		-498.199102		191.942037
6911		739809		-497.114166		184.867892
6921		758883		-489.728652		173.386794
6931		749891		-493.554177		178.482182
6941		739638		-497.875234		189.753638
6951		715572		-508.063876		208.342109
6961		736847		-499.976440		188.986353
6971		743370		-497.504519		184.199398
6981		747338		-496.506518		187.622690
6991		763428		-490.321270		172.603061
7001		761830		-491.792601		173.217255
7011		745940		-497.983740		182.655827
7021		734886		-502.987039		203.788634
7031		755503		-494.999289		184.146210
7041		754672		-497.033376		186.070160
7051		748082		-498.711672		189.787548
7061		769148		-491.438040		176.630506
7071		753354		-498.052326		187.153726
7081		743520		-502.214941		193.598362
7091		759957		-496.284868		181.520801
7101		749162		-500.655682		191.722293
7111		760416		-497.628463		188.095345
7121		766599		-495.697795		181.995787
7131		786786		-487.826111		164.256065
7141		771157		-495.256127		177.237362
7151		768281		-495.230877		177.771221
7161		770370		-494.918028		181.869292
7171		775136		-493.580812		174.307628
7181		750056		-503.561621		200.414148
7191		776038		-494.717285		186.180782
7201		784355		-491.338981		177.381197
7211		777977		-494.614339		178.674802
7221		769970		-497.208143		185.594793
7231		763255		-500.824782		196.080763
7241		772574		-497.390416		188.273995
7251		756101		-503.146049		197.192939
7261		765503		-501.246660		195.737502
7271		763690		-502.153211		201.907303
7281		775888		-498.149155		188.135421
7291		791665		-491.814566		175.725964
7301		795495		-490.808382		176.867278
7311		813221		-485.873342		164.631377
7321		791064		-494.001366		175.021172
7331		787018		-495.609876		183.922794
7341		792674		-494.192072		175.251873
7351		785533		-497.229221		185.791049
7361		788028		-497.504687		192.008423
7371		769679		-502.824040		197.642111
7381		792958		-495.793524		183.707899
7391		810284		-489.549452		166.651333
7401		820816		-486.452101		160.006486
7411		786946		-499.725273		185.277021
7421		799140		-494.682118		179.056731
7431		809409		-491.840129		171.515812
7441		770582		-505.744389		203.243919
7451		821249		-488.009663		166.259562
7461		814581		-491.351830		170.256534
7471		813166		-492.009102		171.485745
7481		797671		-497.097714		187.072851
7491		789551		-500.883193		200.389267
7501		829407		-487.255566		163.002533
7511		810073		-494.404473		183.520170
7521		799839		-498.682622		186.848291
7531		819570		-492.152437		172.172089
7541		794828		-501.512797		196.976263
7551		804364		-497.898556		189.466031
7561		812538		-495.795794		181.562492
7571		816012		-494.606261		183.434949
7581		802074		-499.953568		195.732489
7591		824284		-492.555395		173.197998
7601		815063		-496.195237		186.445731
7611		809188		-498.188412		187.511234
7621		830594		-491.140795		171.570660
7631		813145		-498.164854		186.245577
7641		806511		-500.538673		192.204947
7651		821217		-496.350281		185.270422
7661		833791		-491.573424		173.871818
7671		826283		-494.512841		178.128015
7681		822432		-496.485353		186.894154
7691		841851		-489.754778		175.323885
7701		821152		-497.745747		187.510193
7711		854170		-487.080794		165.781611
7721		834982		-493.895609		179.748219
7731		826426		-496.839219		187.211228
7741		843593		-490.947423		178.056840
7751		838160		-493.854212		179.602116
7761		817995		-500.320062		191.542585
7771		856531		-487.790503		167.070390
7781		830071		-497.672793		186.118494
7791		856231		-488.979078		166.995251
7801		839500		-495.149340		181.275478
7811		834226		-497.306363		187.195750
7821		839707		-496.135021		184.163150
7831		844396		-494.278125		183.952496
7841		844665		-495.300089		183.302385
