n  spin_accpt	Ecalc	 Mabs_calc
4501	1316	-798.871362	399.71162
4511	1302	-798.888938	399.717136
4521	1394	-798.774607	399.687237
4531	1348	-798.832046	399.702494
4541	1310	-798.833737	399.701387
4551	1374	-798.809932	399.694573
4561	1232	-799.000219	399.746108
4571	1332	-798.874644	399.712536
4581	1406	-798.642218	399.654224
4591	1362	-798.86125	399.70856
4601	1266	-798.939361	399.728755
4611	1358	-798.826285	399.698981
4621	1468	-798.850465	399.708288
4631	1356	-798.829626	399.70244
4641	1369	-798.856281	399.709114
4651	1472	-798.769297	399.686519
4661	1230	-798.915254	399.724952
4671	1256	-798.963819	399.734532
4681	1324	-798.8652	399.7116
4691	1438	-798.778086	399.690045
4701	1362	-798.85301	399.707296
4711	1322	-798.93356	399.727446
4721	1378	-798.821436	399.696674
4731	1428	-798.866202	399.711266
4741	1462	-798.745412	399.67644
4751	1434	-798.834772	399.703641
4761	1430	-798.855703	399.706784
4771	1366	-798.921819	399.726263
4781	1286	-798.950847	399.732692
4791	1372	-798.910457	399.721979
4801	1398	-798.914393	399.722974
4811	1396	-798.871752	399.710663
4821	1444	-798.776188	399.687617
4831	1492	-798.873111	399.713931
4841	1474	-798.796943	399.692625
4851	1494	-798.798598	399.692022
4861	1382	-798.929438	399.726805
4871	1450	-798.819955	399.698625
4881	1406	-798.823192	399.698013
4891	1368	-798.859947	399.708444
4901	1310	-798.87778	399.715568
4911	1552	-798.655264	399.656689
4921	1390	-798.885592	399.717537
4931	1438	-798.859461	399.709187
4941	1453	-798.82291	399.70168
4951	1470	-798.871339	399.712785
4961	1348	-798.949405	399.733118
4971	1440	-798.879099	399.713539
4981	1492	-798.807468	399.694439
4991	1431	-798.878782	399.712683
5001	1626	-798.767447	399.682464
5011	1478	-798.867292	399.711036
5021	1507	-798.832105	399.70245
5031	1552	-798.841582	399.707016
5041	1501	-798.712954	399.67189
5051	1542	-798.764601	399.684815
5061	1488	-798.825529	399.70085
5071	1552	-798.761585	399.682508
5081	1494	-798.797874	399.693367
5091	1422	-798.94559	399.732076
5101	1418	-798.859047	399.709469
5111	1406	-798.94189	399.729212
5121	1494	-798.801797	399.696153
5131	1422	-798.934321	399.730267
5141	1498	-798.855476	399.710173
5151	1548	-798.832848	399.702194
5161	1556	-798.763805	399.684945
5171	1566	-798.735254	399.677045
5181	1540	-798.858135	399.709323
5191	1512	-798.841842	399.707186
5201	1594	-798.857143	399.709671
5211	1552	-798.902322	399.720591
5221	1550	-798.879142	399.712699
5231	1474	-798.897343	399.719365
5241	1482	-798.897157	399.719901
5251	1488	-798.942678	399.728433
5261	1462	-798.844326	399.704999
5271	1501	-798.93986	399.728704
5281	1526	-798.815376	399.698921
5291	1532	-798.901531	399.718768
5301	1492	-798.896057	399.718921
5311	1530	-798.901149	399.720203
5321	1518	-798.917497	399.720353
5331	1550	-798.855749	399.708122
5341	1530	-798.868377	399.710541
5351	1626	-798.796487	399.688283
5361	1592	-798.8338	399.701175
5371	1570	-798.830013	399.701732
5381	1518	-798.832187	399.703773
5391	1567	-798.873678	399.709516
5401	1660	-798.837993	399.702277
5411	1474	-798.892626	399.718721
5421	1548	-798.854824	399.706327
5431	1580	-798.85325	399.707604
5441	1638	-798.787723	399.690498
5451	1472	-798.946248	399.730692
5461	1584	-798.868339	399.710676
5471	1570	-798.879912	399.717054
5481	1608	-798.848385	399.703339
5491	1498	-798.989619	399.742488
5501	1684	-798.826395	399.701145
5511	1604	-798.906188	399.718381
5521	1446	-798.953813	399.734106
5531	1571	-798.898572	399.720485
5541	1573	-798.890453	399.718101
5551	1719	-798.705819	399.67069
5561	1530	-798.933285	399.728106
5571	1762	-798.714055	399.671154
5581	1740	-798.860419	399.707579
5591	1700	-798.784475	399.690216
5601	1606	-798.879486	399.715408
5611	1633	-798.831581	399.698806
5621	1686	-798.804483	399.695072
5631	1516	-798.804475	399.692772
5641	1596	-798.900195	399.71849
5651	1572	-798.970094	399.737038
5661	1704	-798.933051	399.726197
5671	1710	-798.788926	399.68718
5681	1560	-798.894561	399.716951
5691	1698	-798.741873	399.67598
5701	1654	-798.878092	399.71163
5711	1715	-798.7827	399.689722
5721	1660	-798.837965	399.7025
5731	1668	-798.862328	399.710347
5741	1674	-798.796029	399.694478
5751	1650	-798.914276	399.723874
5761	1632	-798.891859	399.71984
5771	1588	-798.937446	399.728643
5781	1642	-798.92337	399.723231
5791	1683	-798.872734	399.711276
5801	1629	-798.915359	399.72453
5811	1618	-798.954397	399.731888
5821	1650	-799.002233	399.746092
5831	1800	-798.808438	399.695421
5841	1718	-798.817326	399.699709
5851	1626	-798.971116	399.738164
5861	1698	-798.893704	399.718819
5871	1652	-798.894226	399.718617
5881	1754	-798.818568	399.698011
5891	1564	-798.928535	399.725004
5901	1788	-798.763599	399.684799
5911	1783	-798.844189	399.705972
5921	1744	-798.920453	399.723358
5931	1686	-798.916877	399.724836
5941	1622	-798.944959	399.731695
5951	1779	-798.784742	399.692153
5961	1757	-798.783426	399.690656
5971	1628	-798.919444	399.724669
5981	1785	-798.825614	399.699381
5991	1682	-798.923719	399.728259
6001	1820	-798.831528	399.703383
6011	1715	-798.80752	399.697222
6021	1837	-798.803521	399.695399
6031	1745	-798.780302	399.688609
6041	1852	-798.833306	399.700381
6051	1798	-798.838539	399.70319
6061	1726	-798.852995	399.707309
6071	1867	-798.718498	399.671553
6081	1702	-798.917283	399.721756
6091	1808	-798.852734	399.707109
6101	1742	-798.874283	399.711195
6111	1823	-798.777287	399.687449
6121	1836	-798.824375	399.702009
6131	1712	-798.946991	399.732181
6141	1797	-798.839928	399.701677
6151	1944	-798.735165	399.677451
6161	1784	-798.855381	399.709463
6171	1721	-798.92011	399.723546
6181	1797	-798.877204	399.714933
6191	1852	-798.74786	399.680504
6201	1820	-798.828576	399.702629
6211	1730	-798.871679	399.710836
6221	1904	-798.807266	399.694261
6231	1822	-798.859894	399.708875
6241	1794	-798.928377	399.726646
6251	1827	-798.865462	399.711726
6261	1834	-798.846191	399.703881
6271	1908	-798.745336	399.67852
6281	1748	-798.909091	399.722019
6291	1868	-798.86886	399.712605
6301	1736	-798.924615	399.725758
6311	1717	-798.912375	399.721756
6321	1956	-798.785002	399.692454
6331	1932	-798.850103	399.708419
6341	1888	-798.798928	399.693424
6351	1788	-798.878287	399.714691
6361	1800	-798.908348	399.722685
6371	1858	-798.856067	399.707738
6381	1924	-798.862874	399.70851
6391	1966	-798.725708	399.672039
6401	1858	-798.895798	399.718169
6411	1978	-798.780845	399.687724
6421	1759	-798.87245	399.710325
6431	1792	-798.965635	399.736899
6441	1805	-798.935569	399.727993
6451	1982	-798.742521	399.68005
6461	1841	-798.855286	399.704999
6471	1884	-798.796477	399.692474
6481	1952	-798.867459	399.711156
6491	1751	-798.958558	399.735634
6501	1880	-798.782341	399.690817
6511	1986	-798.821072	399.698357
6521	1864	-798.939426	399.728876
6531	1776	-799.016383	399.747971
6541	1966	-798.842379	399.705244
6551	1818	-798.882003	399.716379
6561	1820	-798.978205	399.738455
